G-1	12.233776
G#-1	12.874536
A-1	13.553118
Bb-1	14.437470
H-1	15.206984
C0	16.198276
C#0	17.040133
D0	18.085366
D#0	19.153813
E0	20.206634
F0	21.542923
F#0	22.719310
G0	24.240335
G#0	25.567625
A0	26.968529
Bb0	28.777035
H0	30.353730
C1	32.368941
C#1	34.081039
D1	36.195663
D#1	38.352485
E1	40.473550
F1	43.158025
F#1	45.517951
G1	48.564435
G#1	51.219382
A1	54.019182
Bb1	57.633723
H1	60.783569
C2	64.812713
C#2	68.235967
D2	72.464842
D#2	76.777889
E2	81.019120
F2	86.387950
F#2	91.106977
G2	97.200095
G#2	102.509541
A2	108.109009
Bb2	115.339201
H2	121.639719
C3	129.700323
C#3	136.548779
D3	145.009544
D#3	153.638953
E3	162.124927
F3	172.867638
F#3	182.310460
G3	194.503410
G#3	205.128762
A3	216.335136
Bb3	230.805514
H3	243.416422
C4	259.550524
C#4	273.261069
D4	290.201404
D#4	307.482646
E4	324.480243
F4	345.998072
F#4	364.917659
G4	389.345453
G#4	410.638621
A4	433.097694
Bb4	462.093945
H4	487.369613
C5	519.701084
C#5	547.179741
D5	581.124737
D#5	615.752300
E5	649.812617
F5	692.927469
F#5	730.842622
G5	779.795178
G#5	822.477728
A5	867.506026
Bb5	925.642822
H5	976.344962
C6	1041.204876
C#6	1096.378393
D6	1164.557202
D#6	1234.158049
E6	1302.679498
F6	1389.416651
F#6	1465.796245
G6	1564.386968
G#6	1650.477993
A6	1741.354668
Bb6	1858.633082
H6	1961.076369
C7	2092.054795
C#7	2203.726023
D7	2341.757587
D#7	2482.889557
E7	2622.098898
F7	2798.246946
F#7	2953.821195
G7	3154.457537
G#7	3330.203789
A7	3515.907216
Bb7	3755.253904
H7	3964.969552
C8	4232.726603
